2024-08-10 08:10:26.192 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [35], completedTaskCount [33], activeCount [2], queueSize [0]
2024-08-10 08:10:26.192 [async-service-3] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.192 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [35], completedTaskCount [35], activeCount [1], queueSize [0]
2024-08-10 08:10:26.193 [async-service-2] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.193 [async-service-3] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.193 [async-service-2] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.193 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [37], completedTaskCount [35], activeCount [1], queueSize [0]
2024-08-10 08:10:26.193 [async-service-5] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.193 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [38], completedTaskCount [37], activeCount [1], queueSize [0]
2024-08-10 08:10:26.193 [async-service-5] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.193 [async-service-5] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.193 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [39], completedTaskCount [37], activeCount [1], queueSize [1]
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.194 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [40], completedTaskCount [38], activeCount [1], queueSize [1]
2024-08-10 08:10:26.194 [async-service-5] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.194 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [41], completedTaskCount [38], activeCount [2], queueSize [1]
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.194 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [42], completedTaskCount [40], activeCount [2], queueSize [0]
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.194 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.194 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [43], completedTaskCount [41], activeCount [2], queueSize [0]
2024-08-10 08:10:26.194 [async-service-5] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
